Date,2/11/2026,,,
Placement,Camera,Time,Side
1,cam1,00:29:11,left
2,cam1,00:29:15,left
3,cam1,00:30:13,right
4,cam1,00:30:13,right
5,cam1,00:30:26,right
6,cam1,00:30:32,right
7,cam1,00:30:57,left
8,cam1,00:31:34,left
9,cam1,00:32:05,left
10,cam1,00:32:16,right
11,cam1,00:33:12,left
12,cam1,00:33:58,left
13,cam1,00:34:12,right
14,cam1,00:35:46,left
15,cam1,00:36:03,right
16,cam1,00:36:29,left
17,cam1,00:36:52,right
18,cam1,00:37:00,right
19,cam1,00:37:46,right
21,cam1,00:38:53,left
22,cam1,00:38:59,right
23,cam1,00:39:01,right
24,cam1,00:39:01,right
25,cam1,00:39:31,left
26,cam1,00:39:39,right
27,cam1,00:39:45,right
28,cam1,00:40:35,right
29,cam1,00:40:51,right
30,cam1,00:40:53,right
31,cam1,00:42:13,right
32,cam1,00:42:27,right
33,cam1,00:42:35,left
34,cam1,00:43:32,right
35,cam1,00:43:37,right
36,cam1,00:43:40,left
37,cam1,00:43:56,left
38,cam1,00:44:32,left
39,cam1,00:44:34,left
40,cam1,00:44:49,right
41,cam1,00:44:51,right
42,cam1,00:45:19,left
43,cam1,00:46:13,right
44,cam1,00:46:52,left
45,cam1,00:47:12,left
46,cam1,00:48:14,left
47,cam1,00:48:17,left
48,cam1,00:48:29,right
