Date,2/11/2026,,,
Placement,Camera,Time,Side
1,Cam2,00:04:34,left
2,Cam2,00:04:56,right
4,Cam2,00:05:48,left
5,Cam2,00:06:15,right
6,Cam2,00:06:44,left
7,Cam2,00:07:31,right
8,Cam2,00:07:38,left
9,Cam2,00:07:44,right
10,Cam2,00:08:02,left
11,Cam2,00:08:37,left
12,Cam2,00:09:07,left
13,Cam2,00:09:30,right
14,Cam2,00:10:01,right
15,Cam2,00:10:24,right
16,Cam2,00:10:42,right
17,Cam2,00:11:59,left
18,Cam2,00:12:29,right
19,Cam2,00:12:51,right
20,Cam2,00:13:18,right
21,Cam2,00:14:32,right
22,Cam2,00:15:27,right
23,Cam2,00:15:42,left
24,Cam2,00:15:51,right
25,Cam2,00:16:54,left
26,Cam2,00:17:26,right
27,Cam2,00:18:03,right
28,Cam2,00:18:06,right
29,Cam2,00:18:13,left
30,Cam2,00:18:36,right
31,Cam2,00:18:50,left
32,Cam2,00:19:01,right
33,Cam2,00:19:03,right
34,Cam2,00:19:15,left
35,Cam2,00:19:37,right
36,Cam2,00:20:11,left
37,Cam2,00:20:15,left
38,Cam2,00:20:17,left
39,Cam2,00:20:30,right
40,Cam2,00:21:00,right
41,Cam2,00:21:13,right
42,Cam2,00:22:24,left
43,Cam2,00:22:42,right
44,Cam2,00:23:04,right
